id,Name,Univ,Year,Country,Title,Advisor,Students
55067,Sergey Konstantinovich Godunov,Lomonosov Moscow State University,1954,Russia,Different Methods for Shock Waves,['55146'],"['115556', '115104', '115557', '137249', '115105', '115106', '166427']"
54543,Olga Aleksandrovna Ladyzhenskaya,St. Petersburg State University,,Russia,,"['54547', '55146']","['55065', '205800', '55066', '46697', '99917', '55622', '55115', '44028', '54546', '93031', '15008', '54544', '99918', '55000', '54545']"
97516,Valentin Petrovich Mikhailov,Lomonosov Moscow State University,,Russia,,"['55146', '55145']",['114796']
98336,Anatoliy Dmitrievich Myshkis,Lomonosov Moscow State University,1951,Russia,,['55146'],"['104963', '128880', '129122', '129121', '118324', '134836', '129123', '74970', '117291', '132921', '98370', '129126', '98939', '129119', '128881', '129120']"
55145,Olga Arsenievna Oleinik,Lomonosov Moscow State University,1950,Russia,On Topology of Real Algebraic Curves on Algebraic Surfaces,['55146'],"['97160', '97639', '97640', '92511', '55260', '96980', '96981', '98166', '80854', '94773', '97161', '110069', '98167', '97162', '97641', '96832', '92510', '88082', '88081', '93525', '97263', '97265', '93596', '93597', '96579', '74173', '96580', '96581', '96640', '97516', '97518', '96641', '96833', '97517', '96831', '80526', '93722', '92332', '147535', '97264', '97383', '93721', '93526', '97385', '97384', '87985', '87986', '93040']"
98941,Victor Solomonovich Ryabenkii,Lomonosov Moscow State University,1952,Russia,On stability of difference equations,['55146'],"['100333', '59107']"
93040,Evgenii Petrovich Zhidkov,Lomonosov Moscow State University,1952,Russia,,"['55146', '55145']",[]
98147,Samarii Aleksandrovich Galpern,Lomonosov Moscow State University,1937,Russia,,['36435'],"['98658', '98805', '134296', '134297', '45012']"
176900,Petr Ivanovich Kuznetsov,Lomonosov Moscow State University,1949,Russia,,['36435'],[]
105328,B. K. Kabalevskii,Lomonosov Moscow State University,,Russia,,['36437'],[]
105359,S. V. Nesterov,Lomonosov Moscow State University,,Russia,,['36437'],[]
105329,P. L. Smirnov,Lomonosov Moscow State University,,Russia,,['36437'],[]
105330,P. I. Tsoi,Lomonosov Moscow State University,,Russia,,['36437'],[]
106009,Mikhail Valerievich Bebutov,Lomonosov Moscow State University,1941,Russia,,['24107'],[]
169504,Boris Mikhailovich Budak,Lomonosov Moscow State University,1946,Russia,Disperse Dynamical Systems,['24107'],['199673']
171645,V. I. Antropova,Moscow State Pedagogical Institute,,Russia,,['24105'],[]
171782,S. S. Demidov,Moscow State Pedagogical Institute,,Russia,,['24105'],[]
171783,V. A. Dobrovolsky,Moscow State Pedagogical Institute,,Russia,,['24105'],[]
171784,N. S. Ermolaeva,Moscow State Pedagogical Institute,,Russia,,['24105'],[]
27340,V. V. Gussov,Moscow State Pedagogical Institute,1951,Russia,Aus der Geschichte der transzendenten Funktionen in Ru▒~_land und in der UdSSR,['24105'],[]
102556,Valentin Ivanovich Lysenko,Moscow State Pedagogical Institute,1962,Russia,,['24105'],[]
136934,Fedor Andreevich Medvedev,Lomonosov Moscow State University,1963,Russia,,['24105'],[]
103152,Petris-Al'girdis Boleslavovich Paplauskas,Moscow State Pedagogical Institute,1962,Russia,Trigonometric Series from Fourier to Lebesgue,['24105'],[]
171785,I. I. Simonov,Moscow State Pedagogical Institute,,Russia,,['24105'],[]
171646,A. I. Volodarsky,Moscow State Pedagogical Institute,,Russia,,['24105'],[]
73886,D. P. Baturov,Lomonosov Moscow State University,1989,Russia,"On Normality, Lindelöf Number, and Other Topological Properties",['72761'],[]
73887,P. A. Biryukov,Lomonosov Moscow State University,1983,Russia,Ranks of Families of Sets and Properties of Topological Spaces,['72761'],[]
73888,B. M. Bokalo,Lomonosov Moscow State University,1989,Russia,Tangency of Topologies and Properties of Scatteredness Type,['72761'],['169904']
73889,R. Z. Buzyakova,Lomonosov Moscow State University,1995,Russia,"Cleavability, and Images of Cartesian Products under Condensations",['72761'],[]
73890,M. M. Choban,Lomonosov Moscow State University,1969,Russia,Properties of Quotient Mappings and Classification of Spaces,['72761'],['35174']
73891,N. K. Dodon,Lomonosov Moscow State University,1977,Russia,P-Scattered Spaces,['72761'],[]
73892,Vladimir V. Filippov,Lomonosov Moscow State University,1971,Russia,On the Structure of Closed Mappings and the Behaviour of Some Fundamental Properties of Topological Spaces under Mappings,['72761'],['76956']
73893,H. M. Genedi,Lomonosov Moscow State University,1988,Russia,On Location Properties in Topological Spaces,['72761'],[]
73894,A. S. Gul'ko,Lomonosov Moscow State University,1996,Russia,Spaces with Rectifiable Diagonal,['72761'],[]
73895,Igor I. Guran,Lomonosov Moscow State University,1983,Russia,On 0-Bounded Topological Groups and Minimal Groups,['72761'],"['79435', '88462']"
